scenario,seed,clip_idx,path,n_frames,n_particles,duration_s,initial_height_m,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius_m,wind_x,wind_z,n_pinned,config_hash,wall_s,status
drape,1495,1495,/data/cloth_trajectories/drape/clip_001495_001495.npz,1000,4096,1.0,0.721977630582364,1.116974254097838,0.3528587908685908,1.0309636170216392,0.1906782454486608,0.0,0.0,0,9bfc1eb9b1be,28.611514526000065,OK
drape,1496,1496,/data/cloth_trajectories/drape/clip_001496_001496.npz,1000,4096,1.0,0.7769208976563505,1.0232763897199768,0.4799497181815007,0.9890114332585138,0.1962563147285228,0.0,0.0,0,0c80ef31079d,28.053432001000147,OK
drape,1497,1497,/data/cloth_trajectories/drape/clip_001497_001497.npz,1000,4096,1.0,0.8201402186305787,1.0044030954101044,0.409305993781994,0.8920874988792138,0.1600688799416107,0.0,0.0,0,5603e15cdf67,29.232303284999944,OK
drape,1498,1498,/data/cloth_trajectories/drape/clip_001498_001498.npz,1000,4096,1.0,0.7312671488785901,0.9607582515194144,0.4548863084926582,1.0811632813674132,0.1763808403859319,0.0,0.0,0,6ec001cd9b6d,27.867143762000524,OK
drape,1499,1499,/data/cloth_trajectories/drape/clip_001499_001499.npz,1000,4096,1.0,0.8473144094563269,0.9524070650682364,0.3932370725422589,0.922031877966658,0.1507208317704544,0.0,0.0,0,fbd4667ffbe6,25.723713294999925,OK
collision,201495,1495,/data/cloth_trajectories/collision/clip_201495_001495.npz,1000,4096,1.0,1.0,0.9485005270386716,0.3988151381928148,0.9703778410564524,0.1488989170383765,0.0,0.0,2,f4d38617a87b,27.786872144999503,OK
collision,201496,1496,/data/cloth_trajectories/collision/clip_201496_001496.npz,1000,4096,1.0,1.0,1.123166871098645,0.2100819025080303,0.9078035348501322,0.108980294892208,0.0,0.0,2,14dc7225b3ac,27.867930712998714,OK
collision,201497,1497,/data/cloth_trajectories/collision/clip_201497_001497.npz,1000,4096,1.0,1.0,0.984091607431027,0.3208483009795904,0.92897571980964,0.1287630837759679,0.0,0.0,2,0577a9c4c492,27.279321981000063,OK
collision,201498,1498,/data/cloth_trajectories/collision/clip_201498_001498.npz,1000,4096,1.0,1.0,1.006008053764646,0.2606233012389087,1.0354795981650602,0.1144467002942355,0.0,0.0,2,dc8aad973c19,32.96388478500012,OK
collision,201499,1499,/data/cloth_trajectories/collision/clip_201499_001499.npz,1000,4096,1.0,1.0,1.0406208691194423,0.251756078406067,1.1010253838831907,0.1282029674476553,0.0,0.0,2,ea710b960a8a,33.39094803300031,OK
